game_id,timestamp,team_a,team_b,prob_a,prob_b,time_remaining,sport
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774260000,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1267200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774263600,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1263600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774267200,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1260000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774270800,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1256400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774274400,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1252800.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774278000,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1249200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774281600,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1245600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774285200,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1242000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774288800,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1238400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774299600,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1227600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774303200,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1224000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774306800,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1220400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774310400,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1216800.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774314000,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1213200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774317600,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1209600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774321200,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1206000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-BKN9,1774324800,Brooklyn wins the 1H by over 9.5 points,Brooklyn wins the 1H by over 9.5 points,0.5,0.5,1202400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774249200,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1278000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774252800,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1274400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774256400,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1270800.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774260000,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1267200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774263600,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1263600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774267200,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1260000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774270800,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1256400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774274400,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1252800.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774278000,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1249200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774281600,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1245600.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774285200,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1242000.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774288800,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1238400.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774292400,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1234800.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774296000,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1231200.0,UNKNOWN
KXNBA1HSPREAD-26MAR23BKNPOR-POR3,1774299600,Portland wins the 1H by over 3.5 points,Portland wins the 1H by over 3.5 points,0.5,0.5,1227600.0,UNKNOWN
